agent_name,seed,split,total_reward,total_return,final_equity,realized_profit,n_trades,steps,sharpe,max_drawdown
D,1,oos,-0.13481123276588025,-0.1238744740202299,8761.255259797701,-897.1520523874151,327.0,956.0,0.16417248463888515,-0.6571539165710899
RandomAgent,2,is,2.043599280268761,6.150103621879847,71501.03621879847,67260.65797670747,757.0,2269.0,2.170397811475596,-0.784868587437013
RandomAgent,2,oos,-0.1380012682546736,-0.1266648924075571,8733.35107592443,-1280.3044347209016,317.0,956.0,0.17489518683439545,-0.649693309414693
BuyAndHoldAgent,2,is,5.6303985491358555,257.249486093083,2582494.8609308302,0.0,1.0,2269.0,3.9668001429026094,-0.8339900882218969
BuyAndHoldAgent,2,oos,0.12941403296001713,0.14108476921655838,11410.847692165584,0.0,1.0,956.0,0.6203325945943428,-0.7663456370856908
A,2,is,7.451270189864001,1594.2691686685787,15952691.686685788,10825198.499204397,233.0,2269.0,6.089970078234999,-0.5210940930352985
A,2,oos,-0.2552765107547452,-0.22330782773456903,7766.921722654309,-2087.1697952340282,95.0,956.0,-0.12032759218017845,-0.669935468668227
B,2,is,5.565943842943916,241.12918640641064,2421291.8640641063,2400393.9666191824,31.0,2269.0,5.51464843171215,-0.4455604911330347
B,2,oos,0.27691754680767416,0.3224457667223003,13224.457667223003,2521.4576696293516,9.0,956.0,0.7723610595791132,-0.5005599718068459
C,2,is,5.173793940865,162.58316407037753,1635831.6407037752,319041.2394724355,95.0,2269.0,3.8400108929597843,-0.7524686595936471
C,2,oos,0.060908126584284274,0.06553120147187728,10655.312014718773,1048.177850736276,35.0,956.0,0.5355488344289007,-0.746651044365069
D,2,is,8.510192182037438,4598.577594325912,45995775.94325912,45894840.93909059,401.0,2269.0,7.094283093309474,-0.26304835374450525
D,2,oos,-0.033467823322285775,-0.0329139716538004,9670.860283461996,-329.139716538004,176.0,956.0,0.1646706426753951,-0.5423646834117788
RandomAgent,3,is,2.307295115124839,9.047211317212133,100472.11317212133,90472.11317212133,718.0,2269.0,2.3891402104451065,-0.8278920109363862
RandomAgent,3,oos,-0.6927766361796741,-0.4998146934803378,5001.853065196622,-4998.146934803379,300.0,956.0,-0.5902175099483006,-0.7233057936081976
BuyAndHoldAgent,3,is,5.6303985491358555,257.249486093083,2582494.8609308302,0.0,1.0,2269.0,3.9668001429026094,-0.8339900882218969
BuyAndHoldAgent,3,oos,0.12941403296001713,0.14108476921655838,11410.847692165584,0.0,1.0,956.0,0.6203325945943428,-0.7663456370856908
A,3,is,6.363656173864161,536.6370707109086,5376370.707109086,5753611.062030873,193.0,2269.0,4.979981696417476,-0.543402597177772
A,3,oos,-0.02914209028483006,-0.026226707169226576,9737.732928307734,-318.26891906488527,51.0,956.0,0.31250219542861873,-0.6232158154417364
B,3,is,3.967119045697654,51.83210449973396,528321.0449973396,518321.0449973396,384.0,2269.0,3.6779735962146023,-0.5847464722585218
B,3,oos,0.22021035335669434,0.24633887458107237,12463.388745810726,2463.388745810724,174.0,956.0,0.6617544095844142,-0.3918254565737273
C,3,is,7.36485366065573,1462.2001938476606,14632001.938476605,13331467.997072307,449.0,2269.0,6.169970879490932,-0.3664989633048689
C,3,oos,0.8054810870633983,1.237772803448911,22377.728034489108,12377.728034489111,210.0,956.0,1.5744295107476391,-0.40102538378432945
D,3,is,6.336791914800311,522.3861267378571,5233861.267378571,5524356.008679714,247.0,2269.0,5.4584370190835285,-0.49512312018139504
D,3,oos,-0.0042751914507430325,-0.00170840151662087,9982.915984833791,422.1447926232395,107.0,956.0,0.2290092137565308,-0.4480052003767618
RandomAgent,4,is,0.47817231866254817,0.4943627885170492,14943.627885170492,6383.927734183413,785.0,2269.0,0.9751687241216024,-0.7461092737194127
RandomAgent,4,oos,-0.5535442152385024,-0.42361468154551024,5763.853184544897,-4245.159204609669,327.0,956.0,-0.610011888547609,-0.6208619735765837
BuyAndHoldAgent,4,is,5.6303985491358555,257.249486093083,2582494.8609308302,0.0,1.0,2269.0,3.9668001429026094,-0.8339900882218969
BuyAndHoldAgent,4,oos,0.12941403296001713,0.14108476921655838,11410.847692165584,0.0,1.0,956.0,0.6203325945943428,-0.7663456370856908
A,4,is,7.400867471275226,1515.8559841149379,15168559.84114938,8315885.587325346,165.0,2269.0,5.835865158472832,-0.6031682535784075
A,4,oos,-0.5590415178486687,-0.4282431799939201,5717.568200060799,-4282.431799939201,78.0,956.0,-0.4192000590814762,-0.649971870712168
B,4,is,4.636993331187337,94.63328224324685,956332.8224324685,995680.5697340037,161.0,2269.0,5.704244756192934,-0.3405140472150401
B,4,oos,-0.2696733244594978,-0.2363710875172771,7636.289124827229,-2363.710875172771,56.0,956.0,-0.6692157104682969,-0.3312980219704696
C,4,is,8.281743859712288,3659.1939932653527,36601939.932653524,41378017.60332414,237.0,2269.0,6.175316224748911,-0.46079835073350056
C,4,oos,0.6121488369217133,0.8491279801335437,18491.279801335437,8362.890137607359,101.0,956.0,1.171929145181564,-0.4911745198487753
D,4,is,4.277280473887531,71.04424714114711,720442.4714114711,710442.4714114711,666.0,2269.0,3.62992264459488,-0.7625008565758957
D,4,oos,0.08037230806411857,0.08647405067190121,10864.740506719012,847.7523450891349,297.0,956.0,0.49654315104903657,-0.6304975777541705
