agent_name,seed,split,total_reward,total_return,final_equity,realized_profit,n_trades,steps,sharpe,max_drawdown
C,3,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
D,3,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
D,3,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
RandomAgent,4,is,-0.08957376970257165,-0.08567918653816249,9143.208134618375,-856.791865381625,534.0,1553.0,-0.17916702707288437,-0.37233436463427977
RandomAgent,4,oos,-0.20247291374360799,-0.1856557563509528,8143.442436490473,-1827.82543034222,217.0,649.0,-0.9064188179948444,-0.3471514200080275
BuyAndHoldAgent,4,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
BuyAndHoldAgent,4,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
A,4,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
A,4,oos,0.1389642620181085,0.14575645371003956,11457.564537100398,0.0,1.0,649.0,0.6150990416302899,-0.24496387071508777
B,4,is,0.8053527633171383,1.2264931550062483,22264.931550062483,0.0,1.0,1553.0,1.9956760612496647,-0.3371724467684869
B,4,oos,0.16597500376972094,0.17712593467669557,11771.259346766956,0.0,1.0,649.0,0.7068669132028139,-0.2449638707150876
C,4,is,0.8214333302268556,1.2625858448686216,22625.858448686213,8741.809314898797,95.0,1553.0,2.536430001227118,-0.1916121983955118
C,4,oos,-0.027735015089595767,-0.03016972786771512,9698.302721322849,-754.9155568277893,25.0,649.0,0.01807648731602316,-0.2449638707150875
D,4,is,0.40390167531664817,0.4902988695668517,14902.988695668517,4991.55838938721,263.0,1553.0,1.6111554199756057,-0.15055659002038255
D,4,oos,-0.10855908407116739,-0.10547127976170395,8945.28720238296,-1470.3030543541354,167.0,649.0,-0.39078969759558085,-0.2771730616988812
